,ticker,ipo_year_y,mktcap,country_y,Sector_y
523,CNC,,35854085.4,United States,Health Care
40,ADM,,42010345.41,United States,
469,CHRW,1997.0,11921346.99,United States,Consumer Discretionary
1413,MAN,,4094705.35,United States,Consumer Discretionary
1785,PCGU,,0.0,United States,Utilities
270,BBVA,,44103853.25,Spain,Finance
1909,PXD,,47229876.15,United States,Energy
875,FLR,,4737224.36,United States,Industrials
1178,IMO,1929.0,29289417.28,Canada,
11,ABG,2002.0,4985249.76,United States,Consumer Discretionary
3,AAL,,10058932.45,United States,Consumer Discretionary
715,DXC,,5808180.12,,Technology
280,BCS,,29887689.79,United Kingdom,Finance
2084,SHG,,13665790.97,South Korea,Finance
465,CHKEL,,0.0,United States,Energy
617,CWK,2018.0,2614262.08,,Finance
1404,LYG,,39601488.15,United Kingdom,Finance
232,AVTR,2019.0,14338668.94,,Industrials
1200,INTC,,112609140.0,United States,Technology
767,ENLC,,5261715.43,,Utilities
1486,MMP,,10869809.52,United States,Energy
1207,IPG,,13120479.73,United States,Consumer Discretionary
1229,ITUB,,44691951.97,Brazil,Finance
28,ACM,2007.0,11707949.08,United States,Consumer Discretionary
628,CZR,,10151122.43,United States,Consumer Discretionary
1236,J,2022.0,14586063.04,,Industrials
1718,OMC,,17729308.54,United States,Consumer Discretionary
626,CYH,2000.0,708543.06,United States,Health Care
1060,HII,,8288415.08,United States,Industrials
2540,YELL,,118642.0,United States,Industrials
2068,SEM,2009.0,3175860.21,United States,Health Care
581,CSL,,12434186.49,United States,
502,CM,,37813632.41,Canada,
1456,MFC,,34841528.72,Canada,Consumer Discretionary
1784,PCG,,33602342.35,United States,Utilities
1669,NVR,1998.0,17011848.27,United States,Consumer Discretionary
1119,HTZ,,5548649.98,United States,Consumer Discretionary
1279,KBR,2006.0,7243772.99,United States,Industrials
1641,NSP,,4487697.2,United States,Consumer Discretionary
403,CAR,,7572026.86,United States,Consumer Discretionary
1050,HESM,2017.0,1198197.5,United States,Energy
1301,KNX,2017.0,9027901.28,United States,Industrials
1281,KELYB,,622831.21,United States,Consumer Discretionary
49,ADV,2019.0,645762.61,United States,Consumer Discretionary
1887,PRIM,,1361237.67,United States,Industrials
1540,MTH,,3894487.64,United States,Consumer Discretionary
1121,HUBG,1996.0,2938443.8,United States,Consumer Discretionary
1610,NLY,,9082518.65,United States,Real Estate
813,EVR,2006.0,4606930.58,United States,Finance
598,CTSH,1998.0,30751209.04,United States,Technology
1344,LEE,,90855.19,United States,Consumer Discretionary
278,BCO,,2981600.21,United States,Technology
2404,VGR,,1857550.82,United States,Health Care
122,AMN,,3794492.37,United States,Health Care
1810,PENN,1994.0,4458961.78,United States,Consumer Discretionary
1487,MMS,1997.0,4661308.89,United States,Consumer Discretionary
1690,NYT,,6034453.6,United States,Consumer Discretionary
2137,SNDR,2017.0,4924328.86,United States,Industrials
445,CEQP,,2601658.14,United States,Energy
1735,OPY,,433025.36,United States,Finance
2473,WE,,664327.48,,Real Estate
524,CNDT,,783869.32,United States,Technology
1845,PJT,2015.0,1798564.35,United States,Finance
72,AGR,2015.0,14711051.99,United States,Utilities
535,CNXC,,6689830.77,United States,Technology
2339,TXRH,2004.0,6799207.85,United States,Consumer Discretionary
290,BEN,,13794865.84,United States,Finance
625,CYD,1994.0,296220.5,Singapore,Industrials
1970,RHI,,8336940.65,United States,Consumer Discretionary
530,CNMD,1987.0,2754390.75,United States,Health Care
2041,SAVE,,1847482.02,United States,Consumer Discretionary
2082,SGRY,2015.0,3713665.92,United States,Health Care
2056,SCL,,2148143.88,United States,Consumer Discretionary
101,ALGT,2006.0,1741393.16,United States,Consumer Discretionary
