,ticker,ipo_year,Sector,proj_mktcap_comp
60442,MSFT,1986.0,Technology,791695906375.464
40604,GOOG,2004.0,Technology,747179127592.1434
316,AAPL,1980.0,Technology,607606821275.0858
57538,META,2012.0,Technology,508702603726.8582
5569,AMZN,1997.0,Consumer Discretionary,420707657380.27124
23335,CSCO,1990.0,Telecommunications,345572847322.8806
10221,BABA,2014.0,Consumer Discretionary,260938547168.98065
22908,CRM,2004.0,Technology,247402163687.52307
21621,COIN,-1.0,Finance,221267134322.89166
33651,F,-1.0,Consumer Discretionary,206224350988.83652
90220,TM,-1.0,Consumer Discretionary,176678177392.1224
72959,PNC,-1.0,Finance,167524151956.1954
51087,KEY,-1.0,Finance,166777062763.21063
25806,DB,-1.0,Finance,161255162141.3441
94577,USB,-1.0,Finance,160184484483.8285
91541,TRV,-1.0,Finance,160184484483.8285
2653,AFL,-1.0,Finance,147245364681.68912
45841,IBM,-1.0,Technology,126301843718.8748
68503,ORCL,1986.0,Technology,119842541390.66496
26372,DELL,2018.0,Technology,118197909334.82559
44491,HSBC,-1.0,Finance,112757402608.35081
94107,UNH,-1.0,Health Care,105438409783.68533
54410,LNC,-1.0,Finance,99744096430.90654
84570,SONY,-1.0,Consumer Staples,98839595202.18695
9978,AZN,-1.0,Health Care,96612490438.90622
20508,CMCSA,-1.0,Consumer Discretionary,96612490438.90622
17505,CCZ,-1.0,Consumer Discretionary,96612490438.90622
65799,NVO,-1.0,Health Care,96612490438.90622
79666,SAP,-1.0,Technology,96612490438.90622
36081,FMX,-1.0,Consumer Staples,96612490438.90622
41226,GS,1999.0,Finance,93496194678.82152
1204,ACN,2001.0,Consumer Discretionary,92385270255.24356
68613,ORLY,1993.0,Consumer Discretionary,92214741865.61026
91772,TSM,1997.0,Technology,88438686684.75954
98510,WFC,-1.0,Finance,87482141462.99998
90386,TMUS,-1.0,Telecommunications,87065129282.62285
57906,MGM,-1.0,Consumer Discretionary,87065129282.62285
90300,TMO,-1.0,Industrials,87065129282.62285
88042,TBB,2017.0,Consumer Discretionary,87065129282.62285
97974,WBA,-1.0,Consumer Staples,87065129282.62285
97634,VZ,-1.0,Telecommunications,87065129282.62285
87671,T,-1.0,Consumer Discretionary,87065129282.62285
27127,DISH,1995.0,Consumer Discretionary,87065129282.62285
1508,ADBE,1986.0,Technology,86966559968.93915
12869,BKNG,-1.0,Consumer Discretionary,85450931225.85176
31481,EOG,-1.0,Energy,84545692511.45697
34564,FDX,-1.0,Consumer Discretionary,83268288625.90918
96546,VMW,2007.0,Technology,82463375600.66966
64286,NOK,1994.0,Technology,82463375600.66966
61241,MUFG,-1.0,Finance,81692689164.0
88732,TEF,1988.0,Telecommunications,81440287219.43272
